Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Amarr Knox,G,34,34,973,17.1,0.488,0.275,0.321,467,2.1,5.5,3.7,18.6,3.4,0.1,8.9,27.7,1.3,1.2,2.5,0.104,-0.1,-0.6,-0.6,
2,CJ Hines,G,33,33,968,17.8,0.539,0.436,0.212,449,3,8.2,5.4,18.4,2.1,0.5,8.9,24.6,2.1,1.1,3.2,0.131,1.2,-1.5,-0.3,
3,TJ Madlock,G,32,31,959,18.3,0.514,0.228,0.548,410,4.1,22.3,12.6,17.4,2,1.2,11.5,22.8,1.5,1.6,3.2,0.132,0.5,-0.3,0.2,
4,Micah Octave,G,27,25,693,10.6,0.43,0.604,0.195,152,6.9,16.2,11.2,4.9,3.4,1.3,9.5,12.8,0.2,1.2,1.4,0.083,-4.1,0.2,-3.8,
5,Jasteven Walker,F,34,16,630,13,0.489,0.432,0.201,184,8.4,11.7,9.9,3.9,1.4,4.8,6.1,15.4,0.8,0.8,1.6,0.102,-2.6,-1.3,-3.9,
6,Micah Simpson,G,34,1,594,11.8,0.492,0.695,0.164,211,1.2,9.3,5,13.1,2.1,0.6,10.5,21.3,0.4,0.7,1.2,0.078,-2.5,-2.1,-4.7,
7,Ubong Okon,C,33,21,475,8.5,0.491,0,0.615,87,11.1,17.6,14.2,1.8,1.2,5.1,27.9,9.7,0,0.7,0.8,0.066,-7.3,-0.8,-8.1,
8,D'Ante Bass,F,34,5,445,14.6,0.518,0.593,0.23,153,8,17,12.3,6.1,2.2,3.1,12.3,18.9,0.5,0.7,1.2,0.109,-2.1,-0.9,-3,
9,Tyler Mack,G,29,4,406,11.9,0.567,0.893,0.025,117,1.5,11.4,6.1,4.7,1.1,0.9,6.1,15.9,0.6,0.4,1,0.103,-0.5,-2.1,-2.5,
10,Shawn Fulcher,G,30,0,313,15.8,0.506,0.245,0.343,125,2.2,9,5.4,24.9,3.5,0.4,15.6,22.1,0.3,0.5,0.8,0.096,-2.8,-0.7,-3.4,
11,Jalen Keago,G,19,0,224,11.6,0.563,0.611,0.63,76,6.2,10.6,8.3,4.1,1,1,15.6,18.3,0.3,0.2,0.5,0.094,-4.2,-2.9,-7.1,
12,Mario Andrews,C,9,0,139,9.1,0.377,0,0.917,22,10,20.4,14.9,5.8,1.2,4.2,18.8,7.5,0.1,0.2,0.3,0.079,-4.1,-0.3,-4.4,
13,Jordon Marshall,G,4,0,7,51.9,0.922,0.25,0.75,6,0,0,0,0,0,16.6,26.9,52.2,0,0,0,0.248,14.1,2.7,16.8,
,Team Totals,,34,34,6826,,0.507,0.428,0.297,,,,,,,,,,8.2,9.6,17.7,0.104,-1.6,-1,-2.6,
