cleveland-state,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Torrey Patton,26,25,825,20.6,0.541,0.516,0.327,0.34,380,6.4,22.9,14.8,18.4,1.8,0.3,15.5,26.4,,1.7,1.2,3,0.143,,1.6,-0.1,1.5
2,Tre Gomillion,26,26,737,17.8,0.537,0.516,0.093,0.37,286,8.3,13.1,10.8,17.3,1.7,0.9,14.8,20.7,,1.6,0.8,2.3,0.126,,-0.1,-0.3,-0.4
3,Craig Beaudion,26,26,811,14.4,0.568,0.522,0.293,0.402,257,1,6.7,3.9,20.4,2.3,0.6,19.2,17.1,,1.3,0.7,2,0.1,,-0.9,0.1,-0.8
4,Deante Johnson,26,26,601,16,0.593,0.596,0,0.475,149,7.7,19.5,13.7,8,1.4,6.5,19.3,12.8,,0.9,0.9,1.8,0.117,,-1,1.6,0.6
5,D'Moi Hodge,25,24,644,16.9,0.495,0.482,0.526,0.134,239,3.1,13.6,8.4,12.8,3.9,3.3,12.6,23.9,,0.7,1.1,1.7,0.108,,-0.4,1.7,1.3
6,Alec Oglesby,26,2,417,9.2,0.549,0.522,0.634,0.183,98,1.4,7.7,4.6,5.6,1.6,0.3,11.4,14,,0.5,0.3,0.8,0.08,,-2.3,0.2,-2.1
7,Al Eichelberger,18,0,292,16.2,0.503,0.449,0.034,0.557,122,12.1,12.6,12.4,14.8,1.6,1.7,18.3,23.9,,0.4,0.3,0.7,0.102,,-2.3,-0.5,-2.7
8,Jayson Woodrich,25,0,289,12.1,0.508,0.474,0.821,0.316,95,2.4,8.4,5.4,2.6,1.2,0,5.2,20.4,,0.5,0.2,0.7,0.098,,-0.1,-1.7,-1.8
9,Chris Greene,22,0,160,19,0.571,0.538,0.485,0.379,78,8.8,13.7,11.3,5.6,1.8,0,13.4,28.8,,0.4,0.2,0.6,0.148,,-0.5,-1.1,-1.6
10,Yahel Hill,26,0,329,7.5,0.499,0.494,0.462,0.192,87,2.9,5.2,4.1,14.5,1.6,0,22,17,,0.1,0.2,0.3,0.036,,-4.2,-0.9,-5.1
11,Jeremy Sanchez,10,0,33,20.6,0.633,0.667,0,0.667,9,7.1,10.5,8.8,5.8,7.2,0,0,12.3,,0.1,0.1,0.2,0.213,,-2.9,9.5,6.6
12,Aria Eskandari,3,0,2,-23.6,0,0,0,0,0,0,0,0,0,0,0,0,25.6,,0,0,0,-0.354,,-11.2,-7.5,-18.7
13,Ben Sternberg,2,0,4,30.6,0.75,0.75,1,0,2,0,0,0,0,0,0,0,25.6,,0,0,0,0.207,,16.7,-0.6,16.2
14,Demetrius Terry,20,0,78,0.5,0.333,0.333,0.222,0,10,7.6,1.5,4.5,8.5,2.3,0,30.8,8.5,,0,0.1,0,0.005,,-8.6,1,-7.6
15,Hugo Ferreira,4,0,26,-7,0.337,0.214,0.286,0.571,5,0,4.4,2.2,0,4.6,0,31,25.4,,-0.1,0,-0.1,-0.127,,-11.7,0,-11.8
16,Mabor Majak,11,1,61,-3.7,0.334,0.3,0,0.1,9,9.7,7.5,8.6,0,1,2.1,36.4,13.8,,-0.1,0,-0.1,-0.058,,-10.1,-1.3,-11.4
17,Franklyn Penn,2,0,16,-5.8,0.5,0.5,0.25,0,3,0,14.4,7.3,0,0,0,42.9,22.4,,-0.1,0,-0.1,-0.133,,-14.6,-5.3,-20
